美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26.6417724085058,119.53352992716893,0
50,6,93,18,27,3,12,0,10,1,17,61,26,9,120,46,43,41,0,4,0,0,1,0,0,2,0,0,0,0,26.6417724085058,119.54354414403078,0
91,21,130,32,19,5,21,4,14,2,12,51,53,10,122,66,30,68,0,14,0,0,0,0,0,3,0,0,0,0,26.6417724085058,119.55355836089262,0
7,0,26,8,1,1,2,1,6,0,1,21,15,1,13,28,2,20,0,3,0,0,0,0,0,1,0,0,0,0,26.6417724085058,119.56357257775448,0
1,0,3,2,0,0,1,0,0,0,0,2,4,0,4,11,0,2,0,4,0,0,0,0,0,2,0,0,0,0,26.6417724085058,119.57358679461635,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6417724085058,119.5836010114782,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6417724085058,119.59361522834004,0
10,1,38,11,4,6,5,0,6,0,4,23,11,0,142,24,16,14,0,1,1,0,0,0,0,5,0,0,0,0,26.650797406065955,119.53352992716893,0
175,17,258,74,49,3,34,8,32,2,22,59,67,18,281,115,90,131,1,10,2,0,0,0,0,6,0,0,0,0,26.650797406065955,119.54354414403078,0
114,10,151,45,42,10,5,3,21,3,18,14,22,3,43,62,14,28,1,2,1,0,0,0,0,4,0,0,0,0,26.650797406065955,119.55355836089262,0
150,22,275,40,25,5,11,9,15,0,18,27,34,8,31,136,15,38,1,10,0,0,0,0,0,5,0,0,0,0,26.650797406065955,119.56357257775448,0
106,4,121,32,29,1,10,9,29,2,14,14,21,3,45,35,12,33,0,4,0,0,0,0,0,1,0,0,0,0,26.650797406065955,119.57358679461635,0
8,0,3,1,0,0,0,0,0,0,1,0,11,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,26.650797406065955,119.5836010114782,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.650797406065955,119.59361522834004,0
210,7,328,83,88,7,36,4,48,2,44,6,61,27,251,64,95,100,0,13,0,0,0,0,0,8,0,0,0,0,26.659822403626112,119.53352992716893,0
544,23,618,169,152,3,119,22,76,9,50,7,61,19,203,210,43,129,2,9,1,0,0,0,1,9,0,0,0,0,26.659822403626112,119.54354414403078,0
118,6,378,69,37,5,10,3,18,4,15,22,47,13,163,95,29,88,0,3,0,0,0,0,0,5,0,0,0,0,26.659822403626112,119.55355836089262,0
6,0,73,10,3,4,3,3,5,1,2,12,15,1,19,45,15,18,0,3,1,0,0,0,0,5,0,0,0,0,26.659822403626112,119.56357257775448,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26.659822403626112,119.57358679461635,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26.659822403626112,119.5836010114782,0
3,0,6,3,1,0,0,1,6,0,1,0,5,0,10,3,1,10,0,2,0,0,0,0,0,0,0,0,0,0,26.659822403626112,119.59361522834004,0
274,47,803,104,95,11,79,13,49,11,86,5,104,32,144,99,208,113,1,24,0,0,0,0,8,11,0,0,0,0,26.668847401186266,119.53352992716893,1
174,9,280,97,57,5,45,3,19,1,40,8,30,10,173,94,41,52,1,7,3,0,1,0,0,3,0,0,0,0,26.668847401186266,119.54354414403078,0
163,7,268,64,44,4,25,12,33,7,13,9,44,12,131,94,56,84,0,6,1,0,0,0,0,1,0,0,0,0,26.668847401186266,119.55355836089262,0
56,5,84,21,5,4,8,10,9,0,9,10,30,7,40,38,31,33,1,3,0,0,0,0,0,1,0,0,0,0,26.668847401186266,119.56357257775448,0
8,2,45,8,1,2,7,6,5,6,5,4,30,2,23,14,15,45,1,8,0,0,2,0,0,0,0,0,0,0,26.668847401186266,119.57358679461635,0
24,1,36,10,2,1,3,1,5,0,5,4,7,2,9,12,8,5,0,1,0,0,0,0,0,2,0,0,0,0,26.668847401186266,119.5836010114782,0
50,0,45,12,7,1,6,1,2,0,10,6,6,2,4,7,4,14,0,3,0,0,0,0,0,2,0,0,0,0,26.668847401186266,119.59361522834004,0
4,4,13,3,0,5,2,0,3,0,1,1,4,0,11,5,19,4,0,2,0,0,0,0,0,0,0,0,0,0,26.67787239874642,119.53352992716893,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.67787239874642,119.54354414403078,0
4,0,9,3,5,2,2,1,2,0,0,0,3,0,14,0,6,14,1,0,0,0,0,0,0,2,0,0,0,0,26.67787239874642,119.55355836089262,0
17,1,42,16,5,1,1,1,7,0,4,8,7,1,13,19,27,9,0,3,0,0,0,0,0,1,0,0,0,0,26.67787239874642,119.56357257775448,0
13,1,134,3,0,1,0,0,5,0,15,4,9,0,31,15,10,20,0,3,0,0,0,0,0,0,0,0,0,0,26.67787239874642,119.57358679461635,0
17,7,32,3,2,5,0,1,9,1,2,6,8,0,11,19,4,3,1,2,0,0,0,0,1,4,0,0,0,0,26.67787239874642,119.5836010114782,0
0,1,2,2,0,0,0,0,0,0,0,0,5,0,2,4,4,3,1,2,0,0,0,0,0,1,0,0,0,0,26.67787239874642,119.59361522834004,0
